,單位（12級）,單位序,序,文號,主旨,附件,附件名稱,不歸檔原因,承辦單位,承辦人,保存狀況,0
638,前瞻科技研究中心,,524,1077600030,密不錄由,附件2,會議記錄,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
639,前瞻科技研究中心,,525,1077600030,密不錄由,附件3,績效酬勞建議表,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
640,前瞻科技研究中心,,526,1077600031,密不錄由,附件1,工作規劃書,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
641,前瞻科技研究中心,,527,1077600031,密不錄由,附件2,工讀生名冊,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
642,前瞻科技研究中心,,528,1077600031,密不錄由,附件3,身分證影本,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
643,前瞻科技研究中心,,529,1077600060,請協助辦理前瞻科技研究中心代管財歸還需求單位事宜。,附件1,移撥設備明細表,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
644,前瞻科技研究中心,,530,1077600079,為辦理教育訓練，擬請同意申請貴賓汽車免費通行券60張，以因應實際需求，請核示。,附件1,訓練課程表,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
645,前瞻科技研究中心,,531,1077600079,為辦理教育訓練，擬請同意申請貴賓汽車免費通行券60張，以因應實際需求，請核示。,附件2,學員名單,單位自存,前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
646,前瞻科技研究中心,,532,1077600127,請協助辦理前瞻科技研究中心代管財歸還需求單位事宜。,附件1,專案合約,單位抽存(存查單位：單位自存:前瞻中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
647,前瞻科技研究中心,,533,1077600127,請協助辦理前瞻科技研究中心代管財歸還需求單位事宜。,附件2,歸還清冊,單位抽存(存查單位：單位自存:前瞻中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
648,前瞻科技研究中心,,534,1077600132,檢送本校前瞻科技研究中心107年代管財產清單，請查照。,附件1,107年代管財產清單,單位抽存(存查單位：單位自存:前瞻中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
649,前瞻科技研究中心,,535,1077600163,請協助辦理前瞻科技研究中心代管財建帳及歸還需求單位事宜。,附件1,契約書,單位抽存(存查單位：前瞻中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
650,前瞻科技研究中心,,536,1077600163,請協助辦理前瞻科技研究中心代管財建帳及歸還需求單位事宜。,附件2,歸還清冊,單位抽存(存查單位：前瞻中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
651,前瞻科技研究中心,,537,1087600032,檢送108年第一季前瞻科技研究中心個人保管財物管理自我檢查表，如附件，請查照。,附件1,自我檢查表,單位抽存(存查單位：單位自存:前瞻科技研究中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
652,前瞻科技研究中心,,538,1087600085,檢送108年前瞻科技研究中心裝備借用單，請查照。,附件1,裝備器材借用申請單,單位抽存(存查單位：前瞻科技研究中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
653,前瞻科技研究中心,,539,1087600087,檢送108年第二季前瞻科技研究中心個人保管財物管理自我檢查表，如附件，請查照。,附件1,4-6月財物管理自我檢查表,單位抽存(存查單位：前瞻科技研究中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
654,前瞻科技研究中心,,540,1087600107,檢送本校前瞻科技研究中心108年代管財產清單，請查照。,附件1,108年代管財產主件號清單,單位抽存(存查單位：前瞻科技研究中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
655,前瞻科技研究中心,,541,1087600116,檢送108年第3季前瞻科技研究中心個人保管財物管理自我檢查表，請查照。,附件1,108年主件號更新清單及圖示,單位抽存(存查單位：前瞻科技研究中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
656,前瞻科技研究中心,,542,1087600116,檢送108年第3季前瞻科技研究中心個人保管財物管理自我檢查表，請查照。,附件2,7-9月個人保管財物自我檢查表,單位抽存(存查單位：前瞻科技研究中心),前瞻科技研究中心,陳瑋婷,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
657,前瞻科技研究中心,,543,1087600077,檢送本校前瞻科技研究中心出國參訪心得報告，請查照。,附件1,出國參訪心得報告,單位抽存(存查單位：前瞻科技研究中心),前瞻科技研究中心,曾憲惠,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
658,前瞻科技研究中心,,544,1067600541,辦理本校「前瞻科技研究中心106年專案研究計畫」經費結餘款繳回事宜，請查照。,附件1,餘款繳回明細表,單位自存,前瞻科技研究中心,蘇順吉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
659,前瞻科技研究中心,,545,1069903131,本校執行106年「網路封包協定解析暨資料庫整合應用平台」計畫案之經費結餘款新台幣10，227元，將以電匯方式繳回，檢附設備財產清冊乙式及會計原始憑證乙冊，請查照。,附件1,設備財產清冊,單位自存,前瞻科技研究中心,蘇順吉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
660,前瞻科技研究中心,,546,1077600006,密不錄由,附件1,專案人員名冊,附件單位自存,前瞻科技研究中心,蘇順吉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
661,前瞻科技研究中心,,547,1077600007,辦理本中心107年專案研究計畫「叢集式文件分類」(採購案號:106U-198L)案，契約書草案修訂暨追溯自元旦起執行等相關事宜，請核示。,附件1,契約草案對照表,單位自存,前瞻科技研究中心,蘇順吉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
662,前瞻科技研究中心,,548,1077600007,辦理本中心107年專案研究計畫「叢集式文件分類」(採購案號:106U-198L)案，契約書草案修訂暨追溯自元旦起執行等相關事宜，請核示。,附件2,請購單,單位自存,前瞻科技研究中心,蘇順吉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
663,,,,,,,,,,,, 
664,客家學院法律與政府研究所,,549,1074200012,法律與政府研究所教授孫煒擬參加桃園市政府研究發展考核委員會「桃園市公民參與的特性與推動機制委託研究案」(標案案號1070104-3)之採購投標案，相關投標文件如附，擬請同意用印。,附件1,標案須用印文件,投標文件,客家學院法律與政府研究所,彭淑姿,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
665,客家學院法律與政府研究所,,550,1074200032,法律與政府研究所教授孫煒擬參加桃園市政府青年事務局「107年青年活絡富岡參與式預算實施計畫勞住採購案」(標案案號TYY-107-C009)之採購投標案，相關投標文件如附，擬請同意用印。,附件1,投標用印文件,投標文件,客家學院法律與政府研究所,彭淑姿,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
666,客家學院法律與政府研究所,,551,1074200057,檢送本校承辦貴會「我國與美國加拿大中央原住民族行政機關法制職能比較研究案（案號：104105）」之修正對照表、成果報告書1式12份並附電子檔(光碟1份)及新台幣壹佰壹拾伍萬捌仟元整領據乙紙，請查照。,附件1,光碟1片,單位自存,客家學院法律與政府研究所,彭淑姿,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
667,客家學院法律與政府研究所,,552,1074200057,檢送本校承辦貴會「我國與美國加拿大中央原住民族行政機關法制職能比較研究案（案號：104105）」之修正對照表、成果報告書1式12份並附電子檔(光碟1份)及新台幣壹佰壹拾伍萬捌仟元整領據乙紙，請查照。,附件2,成果報告書,單位自存,客家學院法律與政府研究所,彭淑姿,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
668,客家學院法律與政府研究所,,553,1074200057,檢送本校承辦貴會「我國與美國加拿大中央原住民族行政機關法制職能比較研究案（案號：104105）」之修正對照表、成果報告書1式12份並附電子檔(光碟1份)及新台幣壹佰壹拾伍萬捌仟元整領據乙紙，請查照。,附件3,修正對照表,單位自存,客家學院法律與政府研究所,彭淑姿,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
669,客家學院法律與政府研究所,,554,1079901822,檢送本院編印之最高法院學術研究會叢書（三十三）「最高法院一○六年度民事學術研討會」2冊，請分送貴校法律研究所、圖書館各1冊，請查照。,附件1,最高法院一○六年度民事學術研討會叢書,單位自存,客家學院法律與政府研究所,彭淑姿,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
670,,,,,,,,,,,, 
671,,,,,,,,,,,, 
672,客家學院客家語文暨社會科學學系,,555,1064200004,檢送本校客家學院「客家研究經典叢書數位再版計畫」修正計畫書等相關資料，敬請查照。,附件1,領據一張,,客家學院客家語文暨社會科學學系,任婕,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
673,客家學院客家語文暨社會科學學系,,556,1079901442,檢送「全國客庄村史聚落撰寫計畫第一期」委託專業服務案（案號：107016）之已用印契約書正本、副本各1份，復請查照。,附件1,契約書,單位自存,客家學院客家語文暨社會科學學系,任婕,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
674,客家學院客家語文暨社會科學學系,,557,1079901379,有關「全國客庄村史聚落撰寫計畫第一期」委託專業服務案（案號：107016）契約書製作事宜，詳如說明，請查照。,附件1,契約書草稿,單位自存,客家學院客家語文暨社會科學學系,任婕,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
675,客家學院客家語文暨社會科學學系,,558,1074200216,擬請鈞長同意於「2018桃園客語薪傳師培訓」契約書上用印，簽請核示。,附件1,契約書5本,單位抽存(存查單位：客家語文暨社會科學學系),客家學院客家語文暨社會科學學系,徐維莉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
676,客家學院客家語文暨社會科學學系,,559,1079901284,檢送本部委請貴校辦理「2018年客家文化教育研習營計畫」（含經費表）及行政協助協議書（一式三份），請於行政協助協議書用印後檢據備文報部，俾憑辦理後續事宜，請查照。,附件1,行政協助協議書（一式三份）,單位自存,客家學院客家語文暨社會科學學系,涂政強,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
677,客家學院客家語文暨社會科學學系,,560,1074200287,檢陳鈞部委託本校客家語文暨社會科學學系辦理「2018年客家文化教育研習營計畫」成果報告2份與收支結算表1份，敬請鑒核。,附件1,2018年客家文化教育研習營計畫成果報告2份,單位抽存(存查單位：單位抽存(存查單位：客家系)),客家學院客家語文暨社會科學學系,涂政強,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
678,客家學院客家語文暨社會科學學系,,561,1069902888,檢送本部委請貴校辦理「106年學科術語客家語編譯工作」之行政協助協議書正本乙份，請依說明辦理，請查照。,附件1,行政協助協議書,等第一期款請領時再歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
679,客家學院客家語文暨社會科學學系,,562,1074200009,擬請同意客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導級就學就業等需求研究計畫」契約書用印。,附件1,契約書正本二本,客委會用印後再歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
680,客家學院客家語文暨社會科學學系,,563,1074200084,有關本系辦理「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導級就學就業等需求研究計畫」投保公共意外責任保險要保書，擬請同意用印，請查照。,附件1,要保書1份,單位自行留存,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
681,客家學院客家語文暨社會科學學系,,564,1074200160,檢送本校協助辦理客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」研究計畫期末報告書面資料十本及光碟片乙片，敬請查照。,附件1,光碟片乙片,結案後另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
682,客家學院客家語文暨社會科學學系,,565,1074200178,檢送本校協助辦理客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」研究計畫期末報告書面資料十本及光碟片乙片，敬請查照。,附件1,期末報告十本,結案後另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
683,客家學院客家語文暨社會科學學系,,566,1074200222,檢送本校協助辦理客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」研究計畫期末報告書面資料乙本，敬請查照。,附件1,期末報告乙本,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
684,客家學院客家語文暨社會科學學系,,567,1074200250,檢送本校協助辦理客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」研究計畫期末報告修正版十本，敬請查照。,附件1,期末報告修正版十本,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
685,客家學院客家語文暨社會科學學系,,568,1074200270,檢送本校協助辦理客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」研究計畫期末報告修正版十本，敬請查照。,附件1,計畫期末報告修正版十本,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
686,客家學院客家語文暨社會科學學系,,569,1074200272,檢送本校協助辦理「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」結案經費相關資料，敬請查照。,附件1,計畫經費收支明細表3份,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
687,客家學院客家語文暨社會科學學系,,570,1074200272,檢送本校協助辦理「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」結案經費相關資料，敬請查照。,附件2,經費勻支對照表3份,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
688,客家學院客家語文暨社會科學學系,,571,1074200286,檢送本校協助辦理客家委員會「臺灣客庄地區東南亞新住民及新住民二代生活適應、照顧輔導及就學就業等需求研究計畫」研究計畫期末報告書面資料，敬請查照。,附件1,研究計畫期末報告十本,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
689,客家學院客家語文暨社會科學學系,,572,1074200275,貴局委託辦理「十年的回顧與前瞻:新北市客家政策脈絡建構之研究-國際視野下之發展策略之成果發表會」一案，敬請在成果發表契約書(正本2份、副本2份)用印後，甲乙雙方各執正本一份，甲方執副本二份，敬請查照。,附件1,成果發表契約書四份,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,梁萩香,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
690,客家學院客家語文暨社會科學學系,,573,1089903539,有關本部「客家語辭典新編暨資料維護工作」一案，採行政協助方式委託貴校辦理，請查照。,附件1,協議書正本,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,黃雯君,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
691,客家學院客家語文暨社會科學學系,,574,1084200379,檢陳本校客家語文暨社會科學學系執行鈞部委辦「客家語辭典新編暨資料維護工作」協議書兩份及編譯工作小組名單乙份，請鑒核。,附件1,行政協議書正本一式兩份,案件未辦結另案歸檔,客家學院客家語文暨社會科學學系,黃雯君,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
692,,,,,,,,,,,, 
693,,,,,,,,,,,, 
694,,,,,,,,,,,, 
695,,,,,,,,,,,, 
696,研究發展處研究推動組,,575,1061400675,檢送本校已用印之「FY107中大-工研院聯合研發中心主題式學研合作計畫-材化科技」契約書、計畫書各乙份暨第一期款收據乙紙，請查照惠撥。,附件1,合約書,自存,研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
697,研究發展處研究推動組,,576,1079900538,函送本院已簽署貴我「一○七年環境科技與材化科技主題式學研合作計畫一環境科技技術」契約書正本2份，請鈴印後寄回正本1份，俾完成簽約手續。,附件1,契約書,單位歸檔,研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
698,研究發展處研究推動組,,577,1079900538,函送本院已簽署貴我「一○七年環境科技與材化科技主題式學研合作計畫一環境科技技術」契約書正本2份，請鈴印後寄回正本1份，俾完成簽約手續。,附件2,合約書,單位自行留存,研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
699,研究發展處研究推動組,,578,1079900801,檢送106年度（2017年）榮總台灣聯合大學合作研究計畫結案報告光碟二份如附件，請查照。,附件1,合作研究計畫結案報告,單位自存,研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
700,研究發展處研究推動組,,579,1071401545,檢送本校已用印之「FY108中大-工研院聯合研發中心主題式學研合作計畫-材化科技」契約書、計畫書各乙份暨第一期款收據乙紙，請查照惠撥。,附件1,合約書及計畫書,單位抽存(存查單位：研發處抽存),研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
701,研究發展處研究推動組,,580,1089900308,"函送本院已簽署貴我「一○八年環境科技與材化科技主題式學研合作計畫一環境科技技術」契約書正本2份，請鈐印後寄回正本1份，俾利完成簽約手續。
",附件1,契約書正本,單位抽存(存查單位：研發處),研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
702,研究發展處研究推動組,,581,1089900716,檢送107年度（2018年）榮總台灣聯合大學合作研究計畫結案報告光碟二份如附件，請查照。,附件1,光碟,單位抽存(存查單位：研發處抽存),研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
703,研究發展處研究推動組,,582,1081400506,謹訂於民國108年5月25日（六）上午9時假本校太空及遙測研究中心R2-116室，舉辦「2019年榮總台灣聯合大學系統第15期合作研究成果發表會」，敬邀單位主管、師生及同仁踴躍參加，請查照轉知。,附件1,海報二張,單位抽存(存查單位：研發處),研究發展處研究推動組,郭恆禎,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
704,研究發展處產學營運中心,,583,1081401524,擬請鈞長於本校執行科技部補助107年度「國立中央大學－國際產學聯盟計畫II」，期末執行進度報告之聯盟營運收入支出報告表核章，敬請鑒核。,附件1,國產實際收支情形,單位抽存(存查單位：產學營運中心),研究發展處產學營運中心,徐于甄,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
705,研究發展處產學營運中心,,584,1071401550,擬以取最有利標精神辦理「108年度本校獲准專利權繳交年費代辦服務一式」採購案，並成立評審小組，詳如說明，簽請核示。,附件1,附件一評審須知,,研究發展處產學營運中心,徐嘉苓,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
706,研究發展處產學營運中心,,585,1071401550,擬以取最有利標精神辦理「108年度本校獲准專利權繳交年費代辦服務一式」採購案，並成立評審小組，詳如說明，簽請核示。,附件2,附件二,,研究發展處產學營運中心,徐嘉苓,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
707,研究發展處產學營運中心,,586,1081400077,檢陳研發處產學營運中心培育廠商「大翰科研有限公司」合約期滿，辦理畢業事宜，請鑒核。,附件1,5中央大學捐款單_大翰,單位抽存(存查單位：存查單位:秘書室),研究發展處產學營運中心,蔡佩儒,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
708,研究發展處產學營運中心,,587,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件1,七、林茂源個人簡歷,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
709,研究發展處產學營運中心,,588,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件2,九、林茂源身分證正反面影本,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
710,研究發展處產學營運中心,,589,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件3,二、延攬客座優秀人才申請書,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
711,研究發展處產學營運中心,,590,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件4,八、林茂源碩士畢業證書影本,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
712,研究發展處產學營運中心,,591,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件5,三、延攬客座優秀人才個人資料表,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
713,研究發展處產學營運中心,,592,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件6,五、延攬客座優秀人才到職通知單,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
714,研究發展處產學營運中心,,593,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件7,六、聘約,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
715,研究發展處產學營運中心,,594,1081400029,擬請同意由研發處科技部管理費(1082A0090)支付林茂源先生108年度薪資，並依本校「延攬客座優秀人才作業要點」辦理續聘事宜，簽請核示。,附件8,四、延攬客座優秀人才成果報告表,單位抽存(存查單位：研發處),研究發展處產學營運中心,鄭茜瑜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
