,Unnamed: 0,單位（12級）,一二級單位,單位序,原序,公文文號,登記單位,來文者/發文者,來文字號,來文日期,主旨,單位（僅一級）,單位（12級）.1,（承辦人）,承辦人員,發文時間,發文字號,年度號,分類號,案次號,卷次號,目次號,保存年限,媒體形式,數量（頁）,五層檔號,是否掃描,文件產生日期,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,0
910,910,學生事務處,學生事務處                              ,185.0,1618.0,840014464.0,總收文,苗栗縣竹南鎮公所,苗竹鎮兵字第19379號,084/12/30,檢送貴校學生陳奕儒考取大專院校查對聯繫名冊二份，請查明惠復。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,3.0,10.0,紙本,2.0,0085/205/01/1/3,（已掃描）,084/12/30,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
911,911,學生事務處,學生事務處                              ,186.0,1619.0,850010055.0,總收文,臺北縣樹林鎮公所,八五北縣樹兵字第42913號,085/01/08,貴校學生向本所申請緩徵，請貴校清查該生是否註冊就讀，若有，請貴校依規定申請緩徵；並請將清查情形，知會本所，以利本所徵兵處理，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,4.0,10.0,紙本,3.0,0085/205/01/1/4,（已掃描）,085/01/08,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
912,912,學生事務處,學生事務處                              ,187.0,1620.0,850000193.0,學生事務處          ,國立中央大學,,         ,貴區僑民張嘉熙於八十年九月十六日註冊入學就讀本校化學工程研究所碩士班，八十二年六月畢業，中途未曾休學、延修，復請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/01/19,(85)中大學字第0161號                          ,85.0,205.0,1.0,1.0,5.0,10.0,紙本,1.0,0085/205/01/1/5,（已掃描）,         085/01/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
913,913,學生事務處,學生事務處                              ,188.0,1621.0,850000098.0,學生事務處          ,國立中央大學,,         ,本校太空所博士班學生李建志已於八十四年九月十九日註冊入學，復請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/01/12,(85)中大學字第0078號                          ,85.0,205.0,1.0,1.0,6.0,10.0,紙本,1.0,0085/205/01/1/6,（已掃描）,         085/01/12,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
914,914,學生事務處,學生事務處                              ,189.0,1622.0,850010451.0,總收文,桃園縣桃園市公所,桃市兵字第85008560號,085/02/08,惠提貴校僑生五十一年次楊敬賢乙員就讀貴校起迄日期（年、月、日）以利徵處事宜，敬請查照惠復。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,7.0,10.0,紙本,3.0,0085/205/01/1/7,（已掃描）,085/02/08,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
915,915,學生事務處,學生事務處                              ,190.0,1623.0,850000542.0,學生事務處          ,國立中央大學,,         ,本校僑生楊敬賢於七十六年十月十二日註冊入學，七十七年六月因故退學，覆請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/02/28,(85)中大學字第0501號                          ,85.0,205.0,1.0,1.0,8.0,10.0,紙本,1.0,0085/205/01/1/8,（已掃描）,         085/02/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
916,916,學生事務處,學生事務處                              ,191.0,1624.0,850000649.0,學生事務處          ,國立中央大學,,         ,貴區五十六年次歸僑役男譚嘉祥於民國七十六年十月十二日註冊入學，因學分不足延長修業一年，民國八十一年六月三十日畢業，覆請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/03/07,(85)中大學字第0631號                          ,85.0,205.0,1.0,1.0,9.0,10.0,紙本,2.0,0085/205/01/1/9,（已掃描）,         085/03/07,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
917,917,學生事務處,學生事務處                              ,192.0,1625.0,850001367.0,學生事務處          ,國立中央大學,,         ,本校物理與天文研究所博士班二年級學生吳勝允(五十八年次役男)本學年因學分不足，八十五學年度需延長修業，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/05/09,(85)中大學字第1346號                          ,85.0,205.0,1.0,1.0,10.0,10.0,紙本,1.0,0085/205/01/1/10,（已掃描）,         085/05/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
918,918,學生事務處,學生事務處                              ,193.0,1626.0,850001471.0,學生事務處          ,國立中央大學,,         ,檢還貴區僑民查詢名冊乙份，復請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/05/15,(85)中大學字第1461號                          ,85.0,205.0,1.0,1.0,11.0,10.0,紙本,1.0,0085/205/01/1/11,（已掃描）,         085/05/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
919,919,學生事務處,學生事務處                              ,194.0,1627.0,850012030.0,總收文,桃園縣中壢市公所,八五中市兵徵字第34236號,085/06/17,查貴校僑生黃海威乙員就學情形，如說明（一、二），請查照惠復。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,12.0,10.0,紙本,1.0,0085/205/01/1/12,（已掃描）,085/06/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
920,920,學生事務處,學生事務處                              ,195.0,1628.0,850001925.0,學生事務處          ,國立中央大學,,         ,本校僑生黃海威於八十一年十月十二日註冊入學，原預定本（八十五）年六月畢業，因學分不足，八十五學年度仍需補修學分，預計八十六年六月畢業。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/06/22,(85)中大學字第1893號                          ,85.0,205.0,1.0,1.0,13.0,10.0,紙本,1.0,0085/205/01/1/13,（已掃描）,         085/06/22,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
921,921,學生事務處,學生事務處                              ,196.0,1629.0,850002087.0,學生事務處          ,國立中央大學,,         ,本校僑生蔡劍峰於八十一年十月十二日註冊入學，已於本(八十五)年六月三十日畢業，復請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/07/04,(85)中大學字第2072號                          ,85.0,205.0,1.0,1.0,14.0,10.0,紙本,2.0,0085/205/01/1/14,（已掃描）,         085/07/04,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
922,922,學生事務處,學生事務處                              ,197.0,1630.0,850012692.0,總收文,台北市士林區公所,北市士兵徵字第17851號,085/07/29,貴校離校名冊中之周建良同學經查非本區役額，請查明正確戶籍地址，以憑辦理，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,15.0,10.0,紙本,2.0,0085/205/01/1/15,（已掃描）,085/07/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
923,923,學生事務處,學生事務處                              ,198.0,1631.0,850002746.0,學生事務處          ,國立中央大學,,         ,函送本校僑生離校名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/09/04,(85)中大學字第2723號                          ,85.0,205.0,1.0,1.0,16.0,10.0,紙本,1.0,0085/205/01/1/16,（已掃描）,         085/09/04,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
924,924,學生事務處,學生事務處                              ,199.0,1632.0,850013359.0,總收文,桃園縣中壢市公所,八五中市兵徵雲字第54997號,085/09/18,請協查貴校僑生馮學深乙員就學情形，如說明（一、二），請查照惠復。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,17.0,10.0,紙本,2.0,0085/205/01/1/17,（已掃描）,085/09/18,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
925,925,學生事務處,學生事務處                              ,200.0,1633.0,850002911.0,學生事務處          ,國立中央大學,,         ,函復本校僑生馮學深在校就學情形，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/09/20,(85)中大學字第2895號                          ,85.0,205.0,1.0,1.0,18.0,10.0,紙本,1.0,0085/205/01/1/18,（已掃描）,         085/09/20,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
926,926,學生事務處,學生事務處                              ,201.0,1634.0,850003402.0,學生事務處          ,國立中央大學,,         ,函復本校僑生李偉業等三名就學情形（如說明），復請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/10/29,(85)中大學字第3383號                          ,85.0,205.0,1.0,1.0,19.0,10.0,紙本,1.0,0085/205/01/1/19,（已掃描）,         085/10/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
927,927,學生事務處,學生事務處                              ,202.0,1635.0,850003553.0,學生事務處          ,國立中央大學,,         ,本校畢業僑生丘榮盛於七十六年十月八日註冊入學，因學分不足，八十、八十一學年延長修業，於八十二年八月暑修畢業離校，復請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/11/09,(85)中大學字第3544號                          ,85.0,205.0,1.0,1.0,20.0,10.0,紙本,1.0,0085/205/01/1/20,（已掃描）,         085/11/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
928,928,學生事務處,學生事務處                              ,203.0,1636.0,850000039.0,學生事務處          ,國立中央大學,,         ,檢送本校離校緩徵原因消滅學生名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/01/08,(85)中大學字第0010號                          ,85.0,205.0,1.0,1.0,21.0,10.0,紙本,1.0,0085/205/01/1/21,（已掃描）,         085/01/08,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
929,929,學生事務處,學生事務處                              ,204.0,1637.0,850010114.0,總收文,臺中市政府,八十五府兵徵字第004316號,085/01/11,抄送中央大學離校學生名冊乙份，希查明補辦徵兵處理。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,22.0,10.0,紙本,3.0,0085/205/01/1/22,（已掃描）,085/01/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
930,930,學生事務處,學生事務處                              ,205.0,1638.0,850010166.0,總收文,基隆市政府,基府兵徵字第004124號,085/01/16,抄送役男秦裕國異動列額名冊一份，請將冊列役男兵籍資料移送本府接管。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,23.0,10.0,紙本,2.0,0085/205/01/1/23,（已掃描）,085/01/16,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
931,931,學生事務處,學生事務處                              ,206.0,1639.0,850010133.0,總收文,屏東縣政府,屏府兵徵字第5298號,085/01/13,抄送離校學生緩徵原因消滅名冊乙份請予註銷緩徵依照規定徵處請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,24.0,10.0,紙本,2.0,0085/205/01/1/24,（已掃描）,085/01/13,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
932,932,學生事務處,學生事務處                              ,207.0,1640.0,850010028.0,總收文,臺北縣政府,八五北府兵字第3708號,085/01/05,檢送蔡政良等十七名緩徵原因消滅名冊(如附件)，冊內役男若係常備兵徵集對象，請依法徵集，如已遷出應即函知役額所在地，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,25.0,10.0,紙本,2.0,0085/205/01/1/25,（已掃描）,085/01/05,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
933,933,學生事務處,學生事務處                              ,208.0,1641.0,840014441.0,總收文,彰化縣政府,彰府兵徵字第231818號,084/12/29,抄送役男黃崇鎧等乙名離校緩徵原因消滅學生名冊乙份，請註銷冊列役男緩徵並依法令規定補行徵兵處理。請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,26.0,10.0,紙本,2.0,0085/205/01/1/26,（已掃描）,084/12/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
934,934,學生事務處,學生事務處                              ,209.0,1642.0,840014409.0,總收文,台北市政府兵役處,北市兵二字第28632號,084/12/27,貴校民六十年次役男林志勳因需出國做博士論文研究，申請延長緩征至八十六年六月三十日乙案，復如說明，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,27.0,10.0,紙本,3.0,0085/205/01/1/27,（已掃描）,084/12/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
935,935,學生事務處,學生事務處                              ,210.0,1643.0,850000422.0,學生事務處          ,國立中央大學,,         ,函送本校離校緩徵原因消滅學生名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/02/12,(85)中大學字第0383號                          ,85.0,205.0,1.0,1.0,28.0,10.0,紙本,1.0,0085/205/01/1/28,（已掃描）,         085/02/12,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
936,936,學生事務處,學生事務處                              ,211.0,1644.0,850000368.0,學生事務處          ,國立中央大學,,         ,函送本校八十四學年度第二學期申請緩徵學生名冊二份，役男徵額歸屬証明書乙份，請查照惠核。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/02/07,(85)中大學字第0349號                          ,85.0,205.0,1.0,1.0,29.0,10.0,紙本,1.0,0085/205/01/1/29,（已掃描）,         085/02/07,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
937,937,學生事務處,學生事務處                              ,212.0,1645.0,850010533.0,總收文,教育部,台(85)軍字第85011601號,085/02/14,檢送「專科以上學校學生申請儘後召集作業程序」補充規定如附件，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,30.0,10.0,紙本,4.0,0085/205/01/1/30,（已掃描）,085/02/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
938,938,學生事務處,學生事務處                              ,213.0,1646.0,850010583.0,總收文,台北市政府兵役處,北市兵二字第3754號,085/02/17,抄轉國立中央大學學生楊得人乙名離校名冊乙份如附件，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,31.0,10.0,紙本,2.0,0085/205/01/1/31,（已掃描）,085/02/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
939,939,學生事務處,學生事務處                              ,214.0,1647.0,850010516.0,總收文,桃園縣政府,八五府兵徵字第040116號,085/02/13,檢還八十四學年度第一學期學生申請緩徵核定名冊乙份，覆請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,32.0,10.0,紙本,5.0,0085/205/01/1/32,（已掃描）,085/02/13,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
940,940,學生事務處,學生事務處                              ,215.0,1648.0,850010547.0,總收文,高雄市政府兵役處,高市兵役二字第2026號,085/02/15,役男劉滄龍一員已離校，隨附離校學生緩徵原因消滅名冊一份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,33.0,10.0,紙本,2.0,0085/205/01/1/33,（已掃描）,085/02/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
941,941,學生事務處,學生事務處                              ,216.0,1649.0,850010534.0,總收文,台南縣政府,八五府兵徵字第27265號,085/02/14,檢送民60年次役男楊智諭等乙員離校緩徵原因消滅學生名冊乙份，請予註銷緩徵補辦徵處，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,34.0,10.0,紙本,2.0,0085/205/01/1/34,（已掃描）,085/02/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
942,942,學生事務處,學生事務處                              ,217.0,1650.0,850010535.0,總收文,屏東縣政府,屏府兵徵字第26094號,085/02/14,抄送離校學生緩徵原因消滅名冊乙份請予註銷緩徵依照規定徵處請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,35.0,10.0,紙本,2.0,0085/205/01/1/35,（已掃描）,085/02/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
943,943,學生事務處,學生事務處                              ,218.0,1651.0,850010549.0,總收文,臺中縣政府,八五府兵徵字第040651號,085/02/15,茲抄發學生趙國樑等乙名離校緩徵原因消滅名冊一份，希即查明登記，應列適當梯次徵集，希照辦。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,36.0,10.0,紙本,2.0,0085/205/01/1/36,（已掃描）,085/02/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
944,944,學生事務處,學生事務處                              ,219.0,1652.0,850000276.0,學生事務處          ,國立中央大學,,         ,檢送本校離校學生緩徵原因消滅名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/01/29,(85)中大學字第0669號                          ,85.0,205.0,1.0,1.0,37.0,10.0,紙本,1.0,0085/205/01/1/37,（已掃描）,         085/01/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
945,945,學生事務處,學生事務處                              ,220.0,1653.0,850000277.0,學生事務處          ,國立中央大學,,         ,函送本校八十四學年度第二學期申請緩徵學生名冊二份，役男徵額歸屬証明書乙份，請查照惠核。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/01/29,(85)中大學字第0668號                          ,85.0,205.0,1.0,1.0,38.0,10.0,紙本,1.0,0085/205/01/1/38,（已掃描）,         085/01/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
946,946,學生事務處,學生事務處                              ,221.0,1654.0,850010871.0,總收文,臺北縣政府,八五北府兵二字第90595號,085/03/18,檢送鄧至宏等六十七名緩徵原因消滅名冊（如附件），冊內役男若係常備兵徵集對象，請依法徵集，如已遷出應即函知役額所在地，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,39.0,10.0,紙本,2.0,0085/205/01/1/39,（已掃描）,085/03/18,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
947,947,學生事務處,學生事務處                              ,222.0,1655.0,850010199.0,總收文,花蓮縣政府,八五府兵徵字第8221號,085/01/19,為五十九年次役男楊展原，據云於今年錄取貴研究所，是否已向貴校辦理註冊，其緩徵名冊至今未收到，請查明惠復。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,40.0,10.0,紙本,2.0,0085/205/01/1/40,（已掃描）,085/01/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
948,948,學生事務處,學生事務處                              ,223.0,1656.0,850000946.0,學生事務處          ,國立中央大學,,         ,檢送本校離校學生緩徵原因消滅名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/04/08,(85)中大學字第09617號                         ,85.0,205.0,1.0,1.0,41.0,10.0,紙本,1.0,0085/205/01/1/41,（已掃描）,         085/04/08,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
949,949,學生事務處,學生事務處                              ,224.0,1657.0,850000935.0,學生事務處          ,國立中央大學,,         ,請撤銷本校學生莫敦仁緩徵原因消滅並准予繼續緩徵至八十六年六月三十日止。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/03/28,(85)中大學字第0912號                          ,85.0,205.0,1.0,1.0,42.0,10.0,紙本,1.0,0085/205/01/1/42,（已掃描）,         085/03/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
950,950,學生事務處,學生事務處                              ,225.0,1658.0,850011101.0,總收文,台南縣政府,八五府兵徵字第057066號,085/04/09,函轉國立中央大學離校學生緩徵原因消滅名冊乙份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,43.0,10.0,紙本,3.0,0085/205/01/1/43,（已掃描）,085/04/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
951,951,學生事務處,學生事務處                              ,226.0,1659.0,850011140.0,總收文,桃園縣政府,八五府兵徵字第074428號,085/04/11,貴校函請撤銷莫敦仁緩徵原因消滅乙案，同意所請並准莫生繼續緩徵至八十六年六月三十日止，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,44.0,10.0,紙本,2.0,0085/205/01/1/44,（已掃描）,085/04/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
952,952,學生事務處,學生事務處                              ,227.0,1660.0,850011134.0,總收文,台北市政府兵役處,北市兵二字第07560號,085/04/11,抄轉國立中央大學學生蔣韻魁等二名離校名冊乙份如附件，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,45.0,10.0,紙本,2.0,0085/205/01/1/45,（已掃描）,085/04/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
953,953,學生事務處,學生事務處                              ,228.0,1661.0,850010847.0,總收文,台南市政府,八五南市兵徵字第068708號,085/03/15,抄送離校學生緩徵原因消滅名冊一份（如附件）冊內役男若係常備兵徵集對象，請依法徵集，如已遷出應即函知役額所在地，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,46.0,10.0,紙本,2.0,0085/205/01/1/46,（已掃描）,085/03/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
954,954,學生事務處,學生事務處                              ,229.0,1662.0,850010848.0,總收文,臺中市政府,八十五府兵徵字第032395號,085/03/15,核還貴校八十四學年度申請緩徵學生名冊壹份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,47.0,10.0,紙本,5.0,0085/205/01/1/47,（已掃描）,085/03/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
955,955,學生事務處,學生事務處                              ,230.0,1663.0,850010831.0,總收文,屏東縣政府,屏府兵徵字第39801號,085/03/14,抄送離校學生緩徵原因消滅名冊乙份請予註銷緩徵依照規定徵處請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,48.0,10.0,紙本,2.0,0085/205/01/1/48,（已掃描）,085/03/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
956,956,學生事務處,學生事務處                              ,231.0,1664.0,850010850.0,總收文,台灣省高雄縣政府,八五府兵征字第48423號,085/03/15,檢發學生莊絢翔等乙員緩徵原因消滅名冊乙份請登記依法徵處。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,49.0,10.0,紙本,2.0,0085/205/01/1/49,（已掃描）,085/03/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
957,957,學生事務處,學生事務處                              ,232.0,1665.0,850010832.0,總收文,雲林縣政府,八五府兵徵字第31884號,085/03/14,抄送役男潘宏坤等乙名離校學生緩徵原因消滅名冊，請依照規定辦理註記及徵處。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,50.0,10.0,紙本,2.0,0085/205/01/1/50,（已掃描）,085/03/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
958,958,學生事務處,學生事務處                              ,233.0,1666.0,850010851.0,總收文,高雄市政府兵役處,高市兵役二字第3262號,085/03/15,役男尹居才一員已離校，隨附離校學生緩徵原因消滅名冊一份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,51.0,10.0,紙本,2.0,0085/205/01/1/51,（已掃描）,085/03/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
959,959,學生事務處,學生事務處                              ,234.0,1667.0,850010846.0,總收文,台南市團管區司令部,(85)松信字第1385號,085/03/15,檢還貴校後備軍人王隆碩乙員註銷二款儘召處理名冊乙份（如附件），請查照！,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,52.0,10.0,紙本,3.0,0085/205/01/1/52,（已掃描）,085/03/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
960,960,學生事務處,學生事務處                              ,235.0,1668.0,850010849.0,總收文,台北市政府兵役處,北市兵二字第05738號,085/03/15,抄轉國立中央大學學生黃靈威等四名離校名冊乙份如附件，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,53.0,10.0,紙本,2.0,0085/205/01/1/53,（已掃描）,085/03/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
961,961,學生事務處,學生事務處                              ,236.0,1669.0,850011141.0,總收文,臺北縣政府,八五北府兵二字第114787號,085/04/11,轉送國立中央大學離校緩徵原因消滅名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,54.0,10.0,紙本,1.0,0085/205/01/1/54,（已掃描）,085/04/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
962,962,學生事務處,學生事務處                              ,237.0,1670.0,850011244.0,總收文,臺北縣政府,八五北府兵二字第127439號,085/04/19,檢送呂益俊等三十五名緩徵原因消滅名冊（如附件），冊內役男若係常備兵徵集對象，請依法徵集，如已遷出應即函知役額所在地，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,55.0,10.0,紙本,2.0,0085/205/01/1/55,（已掃描）,085/04/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
963,963,學生事務處,學生事務處                              ,238.0,1671.0,850011168.0,總收文,台南縣政府,八五府兵徵字第61028號,085/04/15,檢送民61年次役男鄭清鴻等乙員離校緩徵原因消滅學生名冊乙份，請予註銷緩徵補辦徵處，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,56.0,10.0,紙本,2.0,0085/205/01/1/56,（已掃描）,085/04/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
964,964,學生事務處,學生事務處                              ,239.0,1672.0,850011428.0,總收文,台北市團管區司令部,85芮動字第5887號,085/05/03,函覆貴校八十四學年度學生劉文斌等四十八員第二款儘後召集申請名冊暨函覆一覽表各乙份，均如附件，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,57.0,10.0,紙本,4.0,0085/205/01/1/57,（已掃描）,085/05/03,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
965,965,學生事務處,學生事務處                              ,240.0,1673.0,850011427.0,總收文,台北市大安區公所,北市安兵徵五字第14015號,085/05/03,請協查本區僑民（僑生）楊仁杰等乙員之資料，如就讀於貴校之起迄年月時間、離校年級和原因暨在學期間是否休學、退學、延修等。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,,                                        ,85.0,205.0,1.0,1.0,58.0,10.0,紙本,3.0,0085/205/01/1/58,（已掃描）,085/05/03,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
966,966,學生事務處,學生事務處                              ,241.0,1674.0,850001547.0,學生事務處          ,國立中央大學,,         ,函送本校離校緩征原因消滅學生名冊二份，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/05/22,(85)中大學字第1527號                          ,85.0,205.0,1.0,1.0,59.0,10.0,紙本,1.0,0085/205/01/1/59,（已掃描）,         085/05/22,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
967,967,學生事務處,學生事務處                              ,242.0,1675.0,850001704.0,學生事務處          ,國立中央大學,,         ,本校電機工程研究所博士班學生黃柏鈞（五十九年次役男）本學年因學分不足，八十五學年度需延長修業，請查照。,學生事務處,學生事務處,(鍾秋雄),鍾秋雄,085/06/05,(85)中大學字第1662號                          ,85.0,205.0,1.0,1.0,60.0,10.0,紙本,1.0,0085/205/01/1/60,（已掃描）,         085/06/05,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
