單位（12級）,一二級單位,單位序,原序,公文文號,登記單位,來文者/發文者,來文字號,來文日期,主旨,單位（僅一級）,單位（12級）,（承辦人）,承辦人員,發文時間,發文字號,年度號,分類號,案次號,卷次號,目次號,保存年限,媒體形式,數量（頁）,五層檔號,是否掃描,文件產生日期,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
天文所,天文所,7,284,0850014674,總收文,私立淡江大學,(85)校學字第3438號,085/12/16,本校學生社團「天文社」擬前往貴校參觀天文台之軟硬體設備，祈能達到學術交流之目的，敬請惠允。,理學院,天文所,(王毓齡),王毓齡,,                                        ,0085,204,01,5,12,5,紙本,2,0085/204/01/5/12,（已掃描）,085/12/16,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,1,136,0850010056,總收文,台灣省台北縣恆毅高級中學,恆教字第002號,085/01/08,敬請協助本校辦理「地球科學校外觀察活動」。,太空及遙測研究中心,太空及遙測研究中心,(賴美媛),賴美媛,,                                        ,0085,204,01,2,35,5,紙本,3,0085/204/01/2/35,（已掃描）,085/01/08,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,2,137,0850011537,總收文,台北縣私立南山高級中學,（85）南山高中教字第85090號,085/05/13,素仰貴校地球科學設備精良，本校高一同學擬前往教學參觀，請惠予協助並派員簡介至為感謝。,太空及遙測研究中心,太空及遙測研究中心,(陳敏華),陳敏華,,                                        ,0085,204,01,2,36,5,紙本,2,0085/204/01/2/36,（已掃描）,085/05/13,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,3,138,0850011665,總收文,四八九○部隊,（85）品貞（教）字第0928號,085/05/21,本部教職學員共三十六員，預訂於本（85）年六月七日上午十時三十分，由鄭禮國少將率隊，前往貴單位參訪，請惠予安排，請查照！,太空及遙測研究中心,太空及遙測研究中心,(陳敏華),陳敏華,,                                        ,0085,204,01,2,37,5,紙本,2,0085/204/01/2/37,（已掃描）,085/05/21,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,4,139,0850012264,總收文,行政院國家太空計畫室籌備處,(85)臺組太字第0267號,085/07/03,為暑期太空營學員赴貴校資源衛星接收站參訪，惠請安排。,太空及遙測研究中心,太空及遙測研究中心,(賴美媛),賴美媛,,                                        ,0085,204,01,3,20,5,紙本,2,0085/204/01/3/20,（已掃描）,085/07/03,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,5,140,0850011699,總收文,財團法人中興工程科技研究發展基金會,(85)基秘字第2049號,085/05/24,檢附本會資助貴校辦理「多時性衛星影像於海岸潮間帶地形資訊萃取及應用」計劃之尾款新台幣伍萬陸仟元整彰銀西松分行06915-6/EU46888898號同額支票乙紙，請查收。,太空及遙測研究中心,太空及遙測研究中心,(賴美媛),賴美媛,,                                        ,0085,206,01,3,12,20,紙本,2,0085/206/01/3/12,（已掃描）,085/05/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,6,141,0850011019,總收文,中華民國航空測量及遙感探測學會,航測會字第1321號,085/03/28,貴校土木工程系四年級學生黎瑋申請本會獎學金，經審查合格發給獎學金壹萬元，玆檢附臺灣銀行城中分行壹萬元支票(號碼：AC2353398)乙紙及請領獎學金清冊乙份，請查收並用印後擲還本會，請惠辦。,太空及遙測研究中心,太空及遙測研究中心,(賴美媛),賴美媛,,                                        ,0085,206,01,5,9,20,紙本,2,0085/206/01/5/9,（已掃描）,085/03/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空及遙測研究中心,太空及遙測研究中心,7,142,0850011941,總收文,中華民國航空測量及遙感探測學會,航測會字第1381號,085/06/11,檢送本會碩士、博士學位論文獎申請辦法及入會申請單各乙份，請轉知相關研究所鼓勵八十五年度畢業之碩士或博士研究生踴躍參加。,太空及遙測研究中心,太空及遙測研究中心,(賴美媛),賴美媛,,                                        ,0085,206,01,5,10,20,紙本,4,0085/206/01/5/10,（已掃描）,085/06/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空所,太空所,1,219,0850001956,地球科學學院,國立中央大學,,         ,本校太空科學研究所主辦八十五年度自強活動─太空科學研習營，請准予免費參觀貴館之科學中心，並派員導覽解說有關太空科學知識。請同意並安排。,地球科學學院,太空所,(廖瑞華),廖瑞華,085/06/25,(85)中大理字第1922號                          ,0085,204,01,3,14,5,紙本,1,0085/204/01/3/14,（已掃描）,         085/06/25,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空所,太空所,2,220,0850001302,地球科學學院,國立中央大學,,         ,本校太空科學研究所主辦「一九九五年十月廿四日全蝕對電離層之影響」，訂於八十五年五月八日上午十時四十分至下午一時參觀貴觀測台，請同意安排惠復。,地球科學學院,太空所,(廖瑞華),廖瑞華,085/05/03,(85)中大理字第1261號                          ,0085,204,01,3,19,5,紙本,1,0085/204/01/3/19,（已掃描）,         085/05/03,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空所,太空所,7,225,0860002034,地球科學學院,國立中央大學,,         ,本校太空科學研究所碩士班學生楊泰峰擬於八十六年八月二日至九月十五日前往法國杜耳研究所(L′Institut de Touraine)參加暑期語文研習課程，請鑒核惠允並函轉有關單位。,地球科學學院,太空所,(廖瑞華),廖瑞華,086/06/19,(86)中大理字第2038號                          ,0086,204,01,4,38,5,紙本,1,0086/204/01/4/38,（已掃描）,         086/06/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
太空所,太空所,9,227,0860012440,總收文,教育部,台(86)文(三)字第86072262號,086/06/27,本部原則同意貴校學生楊泰峰(名單如附件)於八十六年八月二日至九月十五日赴法國研究，因渠具役男身分，請轉知及輔導如期返國，不得延期，並請貴校負責保證之履行，請查照。,地球科學學院,太空所,(廖瑞華),廖瑞華,,                                        ,0086,204,01,4,41,5,紙本,3,0086/204/01/4/41,（已掃描）,086/06/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
文學院,文學院,3,145,0850014223,總收文,桃園縣政府,85府教社字第260486號,085/11/14,檢送國立台灣藝術教育館承辦之「八十五年教育部文藝創作獎」實施要點及作者資料表各乙份，請協助宣導。,文學院,文學院,(林梅芳),林梅芳,,                                        ,0085,204,01,4,34,5,紙本,4,0085/204/01/4/34,（已掃描）,085/11/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
主計室,會計室,1,164,0900011140,總收文,審計部,台審部教字第9010892號,090/03/29,本部為業務需要，檢送教育部所屬「實施校務基金各大專院校寒暑假期間球隊或相關校隊集訓專任教師擔任教練支領『指導費』或『加班費』情形調查表」一份，請於文到七日內詳予查填後彙送本部，請查照。,主計室,主計室,(許惠敏),許惠敏,,                                        ,0090,207,01,1,5,10,紙本,4,0090/207/01/1/5,（已掃描）,090/03/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
主計室,會計室,2,165,0900001105,會計室,國立中央大學,,         ,檢送鈞部來函查填「實施校務基金各大專院校寒暑假期間球隊或相關校隊集訓專任教師擔任教練支領《指導費》或《加班費》情形調查表」乙份，請鑒核。,主計室,主計室,(許惠敏),許惠敏,090/04/17,(90)中大會字第1115號                          ,0090,207,01,1,7,10,紙本,1,0090/207/01/1/7,（已掃描）,         090/04/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
出納組,總務處出納組,1,166,0850013677,總收文,第一商業銀行總行,一總業展字第11662號,085/10/09,本行為回饋社會，嘉惠學子，特援例提供獎助學金，獎助大專優秀學生。玆撥付新台幣貳拾萬元整（本行支票乙紙，號碼：AA0368405），請貴校自行辦理獎助事宜，並請惠將函附之收據用印後擲還結案，請查照。,出納組,出納組,(林永昌),林永昌,,                                        ,0085,206,01,4,54,20,紙本,3,0085/206/01/4/54,（已掃描）,085/10/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,1,167,0850014645,總收文,教育部,台(85)軍字第85523442號,085/12/13,檢送本部八十五學年度大專院校暨部屬高中職校教師及社團幹部交通安全研習計畫乙份，如附件，請查照。,生活輔導組,生活輔導組,(蔡明發),蔡明發,,                                        ,0085,204,01,5,15,5,紙本,8,0085/204/01/5/15,（已掃描）,085/12/13,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,2,168,0860012929,總收文,教育部,台(86)軍字第86086777號,086/07/23,請鼓勵貴校女性研究社團學生，參加第四屆亞太婦女大會開幕典禮及分組討論活動，如說明，請查照。,生活輔導組,生活輔導組,(張壯熙代),張壯熙代,,                                        ,0086,204,01,6,12,5,紙本,4,0086/204/01/6/12,（已掃描）,086/07/23,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,3,169,0860003049,學生事務處,國立中央大學,,         ,本校定於八十七年十月七日(星期二)上午十時至十二時，假本校大講堂舉辦「女子安全防護講習」惠請貴基金會張錦麗執行長來校演講，是祈。,生活輔導組,生活輔導組,(劉國華),劉國華,086/09/18,(86)中大軍字第3014號                          ,0086,204,01,7,2,5,紙本,1,0086/204/01/7/2,（已掃描）,         086/09/18,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,4,170,0860003081,學生事務處,國立中央大學,,         ,本校定於十月二十一日、二十八日、十一月四日、十一日、十八日五天(星期二)上午十時至十二時；假本校依仁堂舉辦「女子防身術種子教官」講習，惠請貴局支援教官蒞校教導，是祈。,生活輔導組,生活輔導組,(劉國華),劉國華,086/09/23,(86)中大軍字第3094號                          ,0086,204,01,7,3,5,紙本,1,0086/204/01/7/3,（已掃描）,         086/09/23,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,5,171,0860003095,學生事務處,國立中央大學,,         ,一、本校舉辦「女子防身術種子教官」講習。二、講習時間：十月廿一日、廿八日、十一月四日、十一日、十八日五天（星期二）上午十時至十二時（每次二小時），教官由桃園縣警局選派支援，請查照。,生活輔導組,生活輔導組,(劉國華),劉國華,086/09/24,(86)中大軍字第3095號                          ,0086,204,01,7,4,5,紙本,1,0086/204/01/7/4,（已掃描）,         086/09/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,6,172,0860000332,學生事務處,國立中央大學,,         ,檢送本校八十六年大專預官初選體位複檢判定名冊，如附件，請查照。,生活輔導組,生活輔導組,(蔡明發代),蔡明發代,086/01/29,(86)中大軍字第0312號                          ,0086,205,01,3,14,10,紙本,2,0086/205/01/3/14,（已掃描）,         086/01/29,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,7,173,0860000526,學生事務處,國立中央大學,,         ,茲聘請貴所長擔任本校八十六年研究所畢業生志願服預官役，官科抽籤主持事宜，請惠予辦理。,生活輔導組,生活輔導組,(劉家楨),劉家楨,086/02/21,(86)中大軍字第0529號                          ,0086,205,01,3,16,10,紙本,5,0086/205/01/3/16,（已掃描）,         086/02/21,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,8,174,0860000680,學生事務處,國立中央大學,,         ,函送本校八十六年研究生志願服預備軍官役初選合格名冊三份，報告申請書七十九份(均如附件)，請查照。,生活輔導組,生活輔導組,(劉家楨),劉家楨,086/03/05,(86)中大軍字第0703號                          ,0086,205,01,3,17,10,紙本,1,0086/205/01/3/17,（已掃描）,         086/03/05,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,9,175,0860001426,學生事務處,國立中央大學,,         ,函送本校八十六學年度應屆畢業學生參加預官考選人數調查表(如附件)，請查照！,生活輔導組,生活輔導組,(劉家楨),劉家楨,086/04/30,(86)中大軍字第1416號                          ,0086,205,01,3,18,10,紙本,9,0086/205/01/3/18,（已掃描）,         086/04/30,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,10,176,0860002633,學生事務處,國立中央大學,,         ,一、函送本校大學部畢業生賴志忠壹員申請本(86)年第二梯次預官入營，請查照。二、賴員原錄取為本校研究所研究生，並辦妥緩徵，今決意先服兵役，再升學(報告書如附件)，請惠予辦理。,生活輔導組,生活輔導組,(蔡明發),蔡明發,086/08/05,(86)中大軍字第2631號                          ,0086,205,01,3,19,10,紙本,1,0086/205/01/3/19,（已掃描）,         086/08/05,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,11,177,0860014240,總收文,花蓮縣團管區司令部,(86)磊迅字第6685號,086/10/20,函覆貴單位王仲資等乙員儘召第二款案，本部已辦理註記，檢還處理名冊一份，請查照。,生活輔導組,生活輔導組,(鍾秋雄),鍾秋雄,,                                        ,0086,205,01,4,3,10,紙本,3,0086/205/01/4/3,（已掃描）,086/10/20,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,12,178,0860011999,總收文,教育部,台(86)軍字第86049889號,086/05/30,檢送八十七年度大專學生集訓實施計畫，如附件，請查照。,生活輔導組,生活輔導組,(黃書猛),黃書猛,,                                        ,0086,205,01,5,17,10,紙本,10,0086/205/01/5/17,（已掃描）,086/05/30,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,13,179,0860012068,總收文,台北市政府兵役處,北市兵三字第8621251000號,086/06/04,檢送本市八十七年度大專學生集訓暑期第一梯次入營輸送計畫乙份，如附件，請查照。,生活輔導組,生活輔導組,(黃書猛),黃書猛,,                                        ,0086,205,01,5,18,10,紙本,15,0086/205/01/5/18,（已掃描）,086/06/04,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,14,180,0860012527,總收文,臺灣省政府,八六府兵三字第151804號,086/07/03,檢送台灣省八十七年度第二梯次大專生集訓入營輸送計畫一份，如附件，請查照。,生活輔導組,生活輔導組,(黃書猛),黃書猛,,                                        ,0086,205,01,5,20,10,紙本,9,0086/205/01/5/20,（已掃描）,086/07/03,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,15,181,0860012729,總收文,教育部,台(86)軍字第86076796號,086/07/11,檢送八十七年度第一梯次大專學生集訓各校送訓、報到及未報到人數統計表，如附件，請查照。,生活輔導組,生活輔導組,(黃書猛),黃書猛,,                                        ,0086,205,01,5,21,10,紙本,3,0086/205/01/5/21,（已掃描）,086/07/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,16,182,0860012730,總收文,台北市政府兵役處,北市兵三字第8621539600號,086/07/11,檢送本市八十七年度大專學生集訓暑期第二梯次入營輸送計畫乙份，如附件，請查照。,生活輔導組,生活輔導組,(黃書猛),黃書猛,,                                        ,0086,205,01,5,22,10,紙本,14,0086/205/01/5/22,（已掃描）,086/07/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,17,183,0860002519,學生事務處,國立中央大學,,         ,函覆鈞部八十六年七月十一日台八六軍字第八六○七六七九六號函請查明有關本年度第一梯次大專學生集訓，本梯次本校計送訓吳建誼、鄔德傳、張君偉、冷家豪，劉維揚、李偉頌及何昆龍等七員；以上人員經查均按時報到，並無未報到情事；其中除張君偉因氣喘遭驗退外，其餘均已結訓?,生活輔導組,生活輔導組,(黃書猛),黃書猛,086/07/26,八六中軍字第2563號                             ,0086,205,01,5,23,10,紙本,13,0086/205/01/5/23,（已掃描）,         086/07/26,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,18,184,0860013313,總收文,教育部,台(86)軍字第86039885號,086/08/14,核定八十七年度大專學生集訓第三梯次送訓學校暨人數(八十六學年度新生)，如附件，請查照。,生活輔導組,生活輔導組,(黃書猛),黃書猛,,                                        ,0086,205,01,6,4,10,紙本,3,0086/205/01/6/4,（已掃描）,086/08/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,19,185,0860002498,學生事務處,國立中央大學,,         ,函送本校博士班應屆畢業生林瑞益、楊智斌、陳彥勳等三員，分別因論文或口試等問題，無法於七月份完成，惠請准於第二梯次入營，請查照。,生活輔導組,生活輔導組,(蔡明發代),蔡明發代,086/07/24,(86)中大軍字第2479號                          ,0086,205,01,7,6,10,紙本,1,0086/205/01/7/6,（已掃描）,         086/07/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,20,186,0860012179,總收文,教育部,台(86)軍字第86062072號,086/06/11,檢送修訂「十八歲男子志願提前入營服役實施規定」一種，如附件，請查照！,生活輔導組,生活輔導組,(鍾秋雄),鍾秋雄,,                                        ,0086,205,01,7,25,10,紙本,6,0086/205/01/7/25,（已掃描）,086/06/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,21,187,0860002937,學生事務處,國立中央大學,,         ,檢送本校土木所博士班楊智斌乙員申請變更入營梯次及重新核配官科案，請查照。,生活輔導組,生活輔導組,(劉家楨),劉家楨,086/09/09,(86)中大軍字第2937號                          ,0086,205,01,7,32,10,紙本,2,0086/205/01/7/32,（已掃描）,         086/09/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,22,188,0860003056,學生事務處,國立中央大學,,         ,檢送本校資訊工程研究所博士班陳俊宏乙員提前入營名冊，請查照。,生活輔導組,生活輔導組,(劉家楨),劉家楨,086/09/19,(86)中大學字第3054號                          ,0086,205,01,7,64,10,紙本,2,0086/205/01/7/64,（已掃描）,         086/09/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,23,189,0860003096,學生事務處,國立中央大學,,         ,檢送本校統計研究所博士班研究生張延彰乙員提前入營名冊(如附件一)，請查照。,生活輔導組,生活輔導組,(劉家楨),劉家楨,086/09/24,(86)中大軍字第3104號                          ,0086,205,01,7,65,10,紙本,3,0086/205/01/7/65,（已掃描）,         086/09/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,52,218,0860011368,總收文,教育部,台(86)軍字第86039472號,086/04/17,茲核定參加國立台灣師範大學「軍訓教官暨護理教師教學與生活協助進修班」八十五學年度第二學期第一、二階段第二梯次進修人員名冊（如附件），請查照。,生活輔導組,生活輔導組,(郭雲霞),郭雲霞,,                                        ,0086,207,01,4,8,10,紙本,7,0086/207/01/4/8,（已掃描）,086/04/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,24,190,0870000597,學生事務處,國立中央大學,,         ,函送本校八十七年研究生志願服預備軍官役初選合格名冊(三份)暨志願申請書(三十八份)，如附件，請查照！,生活輔導組,生活輔導組,(劉家楨),劉家楨,087/03/04,(87)中大軍字第0614號                          ,0087,205,01,3,27,10,紙本,2,0087/205/01/3/27,（已掃描）,         087/03/04,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,25,191,0870001522,學生事務處,國立中央大學,,         ,檢送本校八十七學年度應屆畢(結)業學生擬參加預備軍官考選人數調查表，請查照。,生活輔導組,生活輔導組,(劉美玠),劉美玠,087/05/21,(87)中大軍字第1501號                          ,0087,205,01,3,28,10,紙本,1,0087/205/01/3/28,（已掃描）,         087/05/21,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,26,192,0870012939,總收文,教育部,台(87)軍字第87082774號,087/07/30,有關授權專科以上學校自行審核驗印申請儘後召集學生名冊補充說明，請查照。,生活輔導組,生活輔導組,(鍾秋雄),鍾秋雄,,                                        ,0087,205,01,4,15,10,紙本,2,0087/205/01/4/15,（已掃描）,087/07/30,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,27,193,0870002521,學生事務處,國立中央大學,,         ,函送本校研究所學生賴理學等五員(名冊如附件)，因故未能於今(87)年第一梯次入營，申請變更為第二梯入營，請惠予辦理。,生活輔導組,生活輔導組,(劉家楨),劉家楨,087/08/06,(87)中大軍字第2509號                          ,0087,205,01,5,38,10,紙本,2,0087/205/01/5/38,（已掃描）,         087/08/06,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,28,194,0870001358,學生事務處,國立中央大學,,         ,檢送本校資工所博士班研究生趙克立申請提前入營名冊(如附件)，請查照。,生活輔導組,生活輔導組,(劉家楨),劉家楨,087/05/05,(87)中大學字第1348號                          ,0087,205,01,6,6,10,紙本,2,0087/205/01/6/6,（已掃描）,         087/05/05,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,29,195,0870001735,學生事務處,國立中央大學,,         ,檢送本校電機工程所博士班王家男申請提前入營名冊(如附件)，請查照。,生活輔導組,生活輔導組,(劉家楨),劉家楨,087/06/06,(87)中大軍字第1726號                          ,0087,205,01,6,7,10,紙本,2,0087/205/01/6/7,（已掃描）,         087/06/06,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,30,196,0870001521,學生事務處,國立中央大學,,         ,檢送本校八十七學年度應屆畢(結)業男生名冊，研究所、大學部各三份，請查照！,生活輔導組,生活輔導組,(劉美玠),劉美玠,087/05/21,(87)中大軍字第1500號                          ,0087,205,01,6,8,10,紙本,1,0087/205/01/6/8,（已掃描）,         087/05/21,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,31,197,0880001138,學生事務處,國立中央大學,,         ,檢送本校民八十八年考選錄取預官申請併入營人員名冊，如附件，請查照!,生活輔導組,生活輔導組,(劉美玠),劉美玠,088/04/19,(88)中大學字第1135號                          ,0088,205,01,7,15,10,紙本,1,0088/205/01/7/15,（已掃描）,         088/04/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,32,198,0880001172,學生事務處,國立中央大學,,         ,檢送本校民八十八年大專預官複選考試成績查詢名冊，如附件，請查照!,生活輔導組,生活輔導組,(劉美玠),劉美玠,088/04/21,(88)中大軍字第1158號                          ,0088,205,01,7,16,10,紙本,1,0088/205/01/7/16,（已掃描）,         088/04/21,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,33,199,0880001253,學生事務處,國立中央大學,,         ,補送本校民國八十八年考選錄取預官併入營人員名冊，如附件，請查照!,生活輔導組,生活輔導組,(劉美玠),劉美玠,088/04/27,(88)中大學字第1249號                          ,0088,205,01,7,17,10,紙本,1,0088/205/01/7/17,（已掃描）,         088/04/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,34,200,0880001425,學生事務處,國立中央大學,,         ,函送本校八十八學年度應屆畢(結)業學生擬參加預備軍官考選人數調查表，請查照。,生活輔導組,生活輔導組,(劉久裕),劉久裕,088/05/11,(88)中大學字第1415號                          ,0088,205,01,7,18,10,紙本,1,0088/205/01/7/18,（已掃描）,         088/05/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,35,201,0880001416,學生事務處,國立中央大學,,         ,函送本校八十八學年度應屆畢(結)業學生擬參加預備軍官考選人數調查表，請查照。,生活輔導組,生活輔導組,(劉久裕),劉久裕,088/05/11,(88)中大學字第1416號                          ,0088,205,01,7,19,10,紙本,1,0088/205/01/7/19,（已掃描）,         088/05/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,36,202,0880001420,學生事務處,國立中央大學,,         ,函送本校八十八學年度應屆畢(結)業學生擬參加預備軍官考選人數調查表，請查照。,生活輔導組,生活輔導組,(劉久裕),劉久裕,088/05/11,(88)中大學字第1417號                          ,0088,205,01,7,20,10,紙本,1,0088/205/01/7/20,（已掃描）,         088/05/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,37,203,0880001421,學生事務處,國立中央大學,,         ,函送本校八十八學年度應屆畢(結)業學生擬參加預備軍官考選人數調查表，請查照。,生活輔導組,生活輔導組,(劉久裕),劉久裕,088/05/11,(88)中大學字第1418號                          ,0088,205,01,7,21,10,紙本,1,0088/205/01/7/21,（已掃描）,         088/05/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,38,204,0880002493,學生事務處,國立中央大學,,         ,檢送本校民國八十八年申請變更預官入營梯次名冊，如附件，請查照!,生活輔導組,生活輔導組,(劉美玠),劉美玠,088/07/27,(88)中大軍字第2490號                          ,0088,205,01,7,22,10,紙本,1,0088/205/01/7/22,（已掃描）,         088/07/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,39,205,0880002494,學生事務處,國立中央大學,,         ,檢送本校民國八十八年考選錄取預官申請第二梯次併入營名冊，如附件，請查照!,生活輔導組,生活輔導組,(劉美玠),劉美玠,088/07/27,(88)中大軍字第2491號                          ,0088,205,01,7,23,10,紙本,1,0088/205/01/7/23,（已掃描）,         088/07/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,40,206,0880003728,學生事務處,國立中央大學,,         ,檢送本校八十八學年度參加預官考選體檢補造名冊三份，如附件，請查照。,生活輔導組,生活輔導組,(劉久裕),劉久裕,088/11/10,(88)中大學字第3717號                          ,0088,205,01,7,24,10,紙本,1,0088/205/01/7/24,（已掃描）,         088/11/10,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,51,217,0890000407,學生事務處,國立中央大學,,         ,函送本校學生申請貴基金會「九二一」震災助學學生名冊暨申請表(如附件)，請惠予辦理。,生活輔導組,生活輔導組,(劉家楨),劉家楨,089/02/15,(89)中大軍字第0386號                          ,0088,206,01,2,30,5,紙本,1,0088/206/01/2/30,（已掃描）,         089/02/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,41,207,0890011894,總收文,教育部,台(八九)軍字第89069734號,089/06/14,檢送修正之「役男出境處理作業手冊」一份，如附件，請查照。,生活輔導組,生活輔導組,(邱清真),邱清真,,                                        ,0089,205,01,13,3,10,紙本,49,0089/205/01/13/3,（已掃描）,089/06/14,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,42,208,0890012936,總收文,教育部,台(八九)軍字第89100004號,089/08/24,檢送「替代役役男身分證製發管理作業要點」乙份，如附件，請查照。,生活輔導組,生活輔導組,(邱清真),邱清真,,                                        ,0089,205,01,13,5,10,紙本,9,0089/205/01/13/5,（已掃描）,089/08/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,43,209,0890012937,總收文,教育部,台(八九)軍字第89096672號,089/08/24,有關替代役役男家屬之急難及疾病慰助，內政部函准予比照該部八十八年七月九日台(八八)內役字第八八八一四九八號函頒「內政部照顧在營軍人家屬急難及疾病慰助實施要點」辦理，請查照。,生活輔導組,生活輔導組,(邱清真),邱清真,,                                        ,0089,205,01,13,6,10,紙本,4,0089/205/01/13/6,（已掃描）,089/08/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
生活輔導組,學生事務處軍訓室,44,210,0890013027,總收文,教育部,台(八九)軍字第89098562號,089/08/31,檢送「替代役役男保險實施辦法」，如附件，請查照。,生活輔導組,生活輔導組,(邱清真),邱清真,,                                        ,0089,205,01,13,7,10,紙本,6,0089/205/01/13/7,（已掃描）,089/08/31,□同意銷毀,□不同意銷毀：建議調整為___年,原因：
